CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment,total_orders,unique_products,total_quantity,avg_quantity,std_quantity,avg_unit_price,std_unit_price,max_unit_price,total_revenue,avg_revenue,std_revenue,max_revenue,avg_items_per_order,std_items_per_order,avg_unique_products_per_order,std_unique_products_per_order,avg_order_value,std_order_value,customer_lifetime_days,days_since_first,avg_days_between_purchases,std_days_between_purchases,min_days_between_purchases,max_days_between_purchases,preferred_day,weekend_purchase_ratio,unique_products_diversity,products_per_order,primary_country,is_uk,revenue_trend
12346,326,1,77183.6,1,1,5,Hibernating,1,1,74215,74215.0,7.649468209299839,1.04,2.635531948637904,1.04,77183.6,77183.6,9.707481967183876,77183.6,74215.0,84.11557019837392,1.0,7.7781745930520225,77183.6,118.32706040885154,0,326,1.1176470588235294,7.264191139170547,0.0,53.0,1,0.0,1,1.0,United Kingdom,1,0.0
12347,2,7,4310.0,5,5,5,Champions,7,103,2458,13.505494505494505,18.85617188780375,2.644010989010989,2.255381008076303,12.75,4310.0,23.681318681318682,23.289902310501176,249.6,351.14285714285717,173.27764673247054,26.0,11.430952132988164,615.7142857142857,341.07078946836157,365,367,2.0,11.260550608207398,0.0,90.0,1,0.0,103,14.714285714285714,Iceland,0,0.028413520575816215
12348,75,4,1797.24,2,4,4,Loyal Customers,4,22,2341,75.51612903225806,51.091989566364134,5.764838709677419,13.400323347085758,40.0,1797.24,57.97548387096774,48.51485730087981,240.0,585.25,477.1780764732037,6.75,4.349329450233296,449.31,301.1599183158343,282,358,9.4,34.08872803890378,0.0,173.0,3,0.0967741935483871,22,5.5,Finland,0,-0.6896679745828279
12349,19,1,1757.55,4,1,4,New Customers,1,73,631,8.643835616438356,6.982855717584514,8.289041095890411,35.02802117053271,300.0,1757.55,24.076027397260273,34.6559127045895,300.0,631.0,84.11557019837392,73.0,7.7781745930520225,1757.55,118.32706040885154,0,19,0.0,0.0,0.0,0.0,0,0.0,73,73.0,Italy,0,0.0
12350,310,1,334.40000000000003,1,1,2,Hibernating,1,17,197,11.588235294117647,4.345382945285314,3.841176470588235,9.334750855240422,40.0,334.40000000000003,19.67058823529412,7.275538185065965,40.0,197.0,84.11557019837392,17.0,7.7781745930520225,334.40000000000003,118.32706040885154,0,310,0.0,0.0,0.0,0.0,2,0.0,17,17.0,Norway,0,0.0
12352,36,8,2506.04,3,5,5,Loyal Customers,8,59,536,6.305882352941176,4.442820665093841,15.93070588235294,53.70632399998194,376.5,2506.04,29.482823529411764,51.68790029756352,376.5,67.0,41.20332857566589,10.375,5.95069023607466,313.255,230.5931599778524,260,297,3.0714285714285716,20.15230305489979,0.0,181.0,1,0.0,59,7.375,Norway,0,-0.16725852296821292
12353,204,1,89.0,1,1,1,Hibernating,1,4,20,5.0,2.581988897471611,6.074999999999999,4.516174634946409,9.95,89.0,22.25,12.215427404174878,39.8,20.0,84.11557019837392,4.0,7.7781745930520225,89.0,118.32706040885154,0,204,0.0,0.0,0.0,0.0,3,0.0,4,4.0,Bahrain,0,0.0
12354,232,1,1079.4,1,1,4,Hibernating,1,58,530,9.137931034482758,8.832651299446644,4.5037931034482765,4.342805636745455,16.95,1079.4,18.610344827586207,8.679742086377074,54.08,530.0,84.11557019837392,58.0,7.7781745930520225,1079.4,118.32706040885154,0,232,0.0,0.0,0.0,0.0,3,0.0,58,58.0,Spain,0,0.0
12355,214,1,459.4,1,1,2,Hibernating,1,13,240,18.46153846153846,27.978013345647522,4.203846153846154,3.4644901944863844,12.75,459.40000000000003,35.338461538461544,29.70352219466962,120.0,240.0,84.11557019837392,13.0,7.7781745930520225,459.40000000000003,118.32706040885154,0,214,0.0,0.0,0.0,0.0,0,0.0,13,13.0,Bahrain,0,0.0
12356,23,3,2811.43,4,3,5,Potential Loyalists,3,53,1591,26.966101694915253,24.624046350653558,3.201186440677966,3.9638535259246632,18.0,2811.43,47.65135593220339,48.5722968956169,324.0,530.3333333333334,621.216816685876,19.666666666666668,17.03917055884274,937.1433333333333,1174.8942498937226,302,326,5.206896551724138,30.81111591429054,0.0,222.0,1,0.0,53,17.666666666666668,Portugal,0,-0.9419017925231167
